latitude,longitude,mg,diff
21.75,121.72,5.2,0
21.65,121.91,5.2,2.4
24.01,122.8,5.2,1.3
24.16,123.31,5.1,1.97
25.02,123.36,5.3,1.37
24.09,122.28,5.2,0.8
23.5,121.49,5,0.87
23.98,122.56,5,1
23.04,121.97,6.6,0.6
24.09,122.48,6.3,0.03
23.96,122.61,5,0.5
23.99,122.57,5,0.57
22.62,121.97,5.5,0.8
24.33,123.48,5.1,1.57
22.07,121.15,5,1.43
24.4,122.15,5.1,2
23.77,123.36,5.1,0.67
23.55,121.72,5.2,0.33
24.38,122.05,5,0.33
24.29,123.49,5.2,0.93
20.63,120.89,5.2,1.8
24.22,121.84,5,0
24.25,121.82,5.7,1.2
22.58,121.98,5.4,0.7
22.69,120.91,5.8,2.03
24.09,121.76,5.5,1.07
23.92,121.64,6.3,0
23.74,121.71,5,0
23.72,121.63,6.7,0
23.78,121.83,5.3,0
23.67,121.81,5.2,0
23.81,121.64,5.1,0
23.71,121.67,5.3,0
23.68,121.63,5.9,0
23.81,121.68,5.7,0.03
23.82,121.72,5.1,0
23.58,121.68,5.3,0
23.93,121.64,5.1,0.13
23.77,121.77,5.4,0.03
23.57,121.53,5.1,0
23.7,121.58,5.6,0
23.67,121.61,5.5,0
23.66,121.45,5.1,0.2
23.77,121.59,5.9,0
23.78,121.63,5.3,0.13
24,121.65,5.2,0.03
23.94,121.86,5.2,0.6
24.04,122.6,5.4,0.03
23.69,121.35,5.7,0
23.75,121.29,5.5,0.07
23.84,121.66,5,0.5
23.89,121.66,5.1,0.87
23.92,121.73,5,0.33
23.16,120.05,5.4,0.47
21.7,121.79,6.3,0
21.67,121.83,5.5,0
21.87,121.61,5.4,1.3
23.9,123.4,5.2,4.57
24.61,122.9,5,0.4
22.54,121.48,5.4,0.4
22.8,121.54,5.1,0.43
23.79,122.95,5.2,3.6
21.17,121.9,5.3,1.13
23.55,123.56,5.9,0.33
24.46,123.32,5,0.83
23.86,121.59,6.2,1.3
23.11,121.41,5.6,2.33
24.67,122.28,5.6,0.27
24.07,121.65,5.2,0.33
24.38,123.6,5.2,0.27
